Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2
co2,124-38-9,phenol,108-95-2,0.042300000000000004,55,0.9577,10.1,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,phenol,108-95-2,0.0797,55,0.9203,20.3,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,phenol,108-95-2,0.11960000000000001,55,0.8804,30.1,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,phenol,108-95-2,0.2025,55,0.7975,51.0,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,phenol,108-95-2,0.040999999999999995,65,0.959,10.1,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,phenol,108-95-2,0.07440000000000001,65,0.9256,20.6,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,phenol,108-95-2,0.11630000000000001,65,0.8836999999999999,30.3,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,phenol,108-95-2,0.1593,65,0.8407,40.7,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,phenol,108-95-2,0.19510000000000002,65,0.8049,50.3,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,phenol,108-95-2,0.0388,75,0.9612,10.6,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,phenol,108-95-2,0.0733,75,0.9267,20.8,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,phenol,108-95-2,0.1067,75,0.8933,30.9,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,phenol,108-95-2,0.1519,75,0.8481,40.4,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,phenol,108-95-2,0.16949999999999998,75,0.8305,50.1,C(=O)=O,C1=CC=C(C=C1)O
co2,124-38-9,cyclohexane,110-82-7,0.451,20,0.5489999999999999,39.0,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.561,20,0.43899999999999995,45.1,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.657,20,0.34299999999999997,45.6,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.78,20,0.21999999999999997,48.9,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.855,20,0.14500000000000002,49.3,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.9159999999999999,20,0.08400000000000007,51.3,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.945,20,0.05500000000000005,52.4,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.973,20,0.027000000000000024,54.5,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.981,20,0.019000000000000017,53.3,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.451,30,0.5489999999999999,45.9,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.561,30,0.43899999999999995,52.8,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.657,30,0.34299999999999997,54.5,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.78,30,0.21999999999999997,58.7,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.855,30,0.14500000000000002,60.7,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.884,30,0.11599999999999999,58.6,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.9159999999999999,30,0.08400000000000007,63.0,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.945,30,0.05500000000000005,63.6,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.973,30,0.027000000000000024,64.4,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.981,30,0.019000000000000017,64.1,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.451,40,0.5489999999999999,52.1,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.561,40,0.43899999999999995,60.7,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.657,40,0.34299999999999997,64.2,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.78,40,0.21999999999999997,69.5,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.855,40,0.14500000000000002,73.1,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.884,40,0.11599999999999999,70.8,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.9159999999999999,40,0.08400000000000007,74.9,C(=O)=O,C1CCCCC1
co2,124-38-9,cyclohexane,110-82-7,0.945,40,0.05500000000000005,76.4,C(=O)=O,C1CCCCC1
co2,124-38-9,acetone,67-64-1,0.151,25,0.849,8.1,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.231,25,0.769,11.7,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.275,25,0.725,15.2,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.37799999999999995,25,0.6220000000000001,20.2,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.456,25,0.544,24.9,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.523,25,0.477,29.8,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.604,25,0.396,35.0,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.682,25,0.31799999999999995,39.6,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.765,25,0.235,44.6,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.856,25,0.14400000000000002,50.2,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.8959999999999999,25,0.10400000000000009,54.7,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.41,30,0.5900000000000001,23.2,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.5,30,0.5,29.3,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.6,30,0.4,35.2,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.7,30,0.30000000000000004,40.9,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.8,30,0.19999999999999996,48.4,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.9,30,0.09999999999999998,57.5,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.41,40,0.5900000000000001,27.0,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.5,40,0.5,35.2,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.6,40,0.4,43.7,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.7,40,0.30000000000000004,52.0,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.8,40,0.19999999999999996,58.5,C(=O)=O,CC(=O)C
co2,124-38-9,acetone,67-64-1,0.9,40,0.09999999999999998,68.6,C(=O)=O,CC(=O)C
co2,124-38-9,2-butanone,78-93-3,0.094,25,0.906,4.8,C(=O)=O,CCC(=O)C
